Collection,date,wrf,influent_flow_mg,influent_tss_mg_l,notes
172,2022-04-18,CC,1.87,284,
173,2022-04-20,NO ,5.85,170,
173,2022-04-20,MI,3.88,204,
173,2022-04-20,CC,1.82,276,
174,2022-04-25,NO ,5.57,196,
174,2022-04-25,MI,3.81,128,
174,2022-04-25,CC,1.81,176,
175,2022-04-27,NO ,6.81,282,
175,2022-04-27,MI,3.8,80,
175,2022-04-27,CC,1.7,140,
176,2022-05-02,NO ,5.52,204,
176,2022-05-02,MI,3.7,164,
176,2022-05-02,CC,1.69,252,
178,2022-05-09,NO ,4.84,158,
178,2022-05-09,MI,4.73,124,
178,2022-05-09,CC,1.55,92,
179,2022-05-11,NO ,5.55,264,
179,2022-05-11,MI,3.73,100,
179,2022-05-11,CC,1.5,192,
180,2022-05-16,NO ,4.77,574,
180,2022-05-16,MI,3.64,148,
180,2022-05-16,CC,1.53,190,
181,2022-05-18,NO ,4.88,278,
181,2022-05-18,MI,3.43,212,
181,2022-05-18,CC,1.45,192,
182,2022-05-23,NO ,5.13,290,
182,2022-05-23,MI,3.95,112,
182,2022-05-23,CC,1.51,132,
183,2022-05-25,NO ,5.18,256,
183,2022-05-25,MI,3.49,46,
183,2022-05-25,CC,1.46,840,
184,2022-05-31,NO ,4.95,944,
184,2022-05-31,MI,3.65,152,
184,2022-05-31,CC,1.5,345,
185,2022-06-01,NO ,5.13,344,
185,2022-06-01,MI,3.38,200,
185,2022-06-01,CC,1.48,712,
186,2022-06-06,NO ,4.62,276,
186,2022-06-06,MI,3.42,216,
186,2022-06-06,CC,1.47,228,
187,2022-06-08,NO ,5.29,178,
187,2022-06-08,MI,1.48,86,
187,2022-06-08,CC,3.53,272,
188,2022-06-13,NO ,4.47,374,
188,2022-06-13,MI,3.29,168,
188,2022-06-13,CC,1.39,236,
189,2022-06-15,NO ,5.52,294,
189,2022-06-15,MI,3.3,220,
189,2022-06-15,CC,1.39,184,
190,2022-06-20,NO ,4.58,116,
190,2022-06-20,MI,3.16,148,
190,2022-06-20,CC,1.37,176,
191,2022-06-22,NO ,5.29,154,
191,2022-06-22,MI,3.21,164,
191,2022-06-22,CC,1.28,368,
192,2022-06-27,NO ,4.99,462,
192,2022-06-27,MI,3.52,84,
192,2022-06-27,CC,1.33,238,
193,2022-06-29,NO ,5.21,146,
193,2022-06-29,MI,3.56,48,
193,2022-06-29,CC,1.35,164,
194,2022-07-04,NO ,4.39,248,
194,2022-07-04,MI,3.42,188,
194,2022-07-04,CC,1.32,172,
195,2022-07-06,NO ,4.3,154,
195,2022-07-06,MI,3.37,68,
195,2022-07-06,CC,1.41,320,
196,2022-07-11,NO ,5.26,138,
196,2022-07-11,MI,3.83,42,
196,2022-07-11,CC,1.54,128,
197,2022-07-13,NO ,5.54,132,
197,2022-07-13,MI,3.55,44,
197,2022-07-13,CC,1.43,284,
198,2022-07-18,NO ,4.81,224,
198,2022-07-18,MI,3.33,136,
198,2022-07-18,CC,1.57,252,
199,2022-07-20,NO ,5.55,166,
199,2022-07-20,MI,3.71,104,
199,2022-07-20,CC,1.56,788,
200,2022-07-25,NO ,5.25,262,
200,2022-07-25,MI,3.71,152,
200,2022-07-25,CC,1.4,212,
201,2022-07-27,NO ,5.32,142,
201,2022-07-27,MI,3.4,60,
201,2022-07-27,CC,1.46,440,
202,2022-08-01,NO ,4.98,164,
202,2022-08-01,MI,3.42,292,
202,2022-08-01,CC,1.56,220,
203,2022-08-03,NO ,5.58,218,
203,2022-08-03,MI,3.49,204,
203,2022-08-03,CC,1.42,332,
204,2022-08-08,NO ,5.35,126,
204,2022-08-08,MI,3.57,90,
204,2022-08-08,CC,1.5,184,
205,2022-08-10,NO ,5.84,122,
205,2022-08-10,MI,3.54,68,
205,2022-08-10,CC,1.4,476,
206,2022-08-15,NO ,5.72,638,
206,2022-08-15,MI,3.61,148,
206,2022-08-15,CC,1.54,304,
207,2022-08-17,NO ,6.3,372,
207,2022-08-17,MI,3.6,172,
207,2022-08-17,CC,1.49,328,
208,2022-08-22,NO ,6.37,144,
208,2022-08-22,MI,3.73,62,
208,2022-08-22,CC,1.65,256,
209,2022-08-24,NO ,6.37,385,
209,2022-08-24,MI,3.6,172,
209,2022-08-24,CC,1.63,352,
210,2022-08-29,NO ,5.89,262,
210,2022-08-29,MI,3.62,112,
210,2022-08-29,CC,1.57,224,
211,2022-08-31,NO ,6.38,186,
211,2022-08-31,MI,3.69,56,
211,2022-08-31,CC,1.48,164,
212,2022-09-05,NO ,5.71,204,
212,2022-09-05,MI,4.01,88,
212,2022-09-05,CC,1.62,116,
213,2022-09-07,NO ,7,146,
213,2022-09-07,MI,3.86,112,
213,2022-09-07,CC,1.5,120,
214,2022-09-13,NO ,6.09,180,
214,2022-09-13,MI,3.71,164,
214,2022-09-13,CC,1.55,268,
215,2022-09-14,NO ,5.98,284,
215,2022-09-14,MI,3.61,110,
215,2022-09-14,CC,1.5,304,
216,2022-09-19,NO ,5.79,360,
216,2022-09-19,MI,3.55,228,
216,2022-09-19,CC,1.55,156,
217,2022-09-21,NO ,6.25,162,
217,2022-09-21,MI,3.49,128,
217,2022-09-21,CC,1.45,536,
218,2022-09-26,NO ,5.76,300,
218,2022-09-26,MI,3.61,160,
218,2022-09-26,CC,1.55,312,
219,2022-09-28,NO ,5.98,140,
219,2022-09-28,MI,3.5,124,
219,2022-09-28,CC,1.43,356,
220,2022-10-03,NO ,5.76,,
220,2022-10-03,MI,3.44,,
220,2022-10-03,CC,1.5,,
221,2022-10-05,NO ,6.14,184,
221,2022-10-05,MI,3.43,252,
221,2022-10-05,CC,1.45,448,
222,2022-10-10,NO ,5.65,260,
222,2022-10-10,MI,3.52,96,
222,2022-10-10,CC,1.45,948,
223,2022-10-12,NO ,6.29,266,
223,2022-10-12,MI,3.69,98,
223,2022-10-12,CC,1.4,128,
224,2022-10-17,NO ,5.45,650,
224,2022-10-17,MI,3.61,180,
224,2022-10-17,CC,1.48,336,
225,2022-10-19,NO ,5.72,210,
225,2022-10-19,MI,3.51,182,
225,2022-10-19,CC,1.48,376,
226,2022-10-24,NO ,5.11,450,
226,2022-10-24,MI,3.65,152,
226,2022-10-24,CC,1.47,1380,
227,2022-10-26,NO ,5.84,309,
227,2022-10-26,MI,3.63,136,
227,2022-10-26,CC,1.45,328,
228,2022-10-31,NO ,5.46,188,
228,2022-10-31,MI,3.79,184,
228,2022-10-31,CC,1.57,180,
229,2022-11-02,NO ,5.73,266,
229,2022-11-02,MI,3.67,212,
229,2022-11-02,CC,1.49,212,
230,2022-11-07,NO ,5.69,590,
230,2022-11-07,MI,3.67,80,
230,2022-11-07,CC,1.54,172,
231,2022-11-09,NO ,5.83,194,
231,2022-11-09,MI,3.38,136,
231,2022-11-09,CC,1.42,360,
232,2022-11-14,NO ,5.04,644,
232,2022-11-14,MI,3.58,100,
232,2022-11-14,CC,1.49,232,
233,2022-11-16,NO ,5.92,170,
233,2022-11-16,MI,3.64,268,
233,2022-11-16,CC,1.47,276,
234,2022-11-21,NO ,4.56,987,
234,2022-11-21,MI,3.49,244,
234,2022-11-21,CC,1.53,500,
235,2022-11-28,NO ,5.36,210,
235,2022-11-28,MI,3.9,172,
235,2022-11-28,CC,1.82,84,
236,2022-11-30,NO ,8.57,372,
236,2022-11-30,MI,6.93,104,
236,2022-11-30,CC,2.55,164,
237,2022-12-05,NO ,5.43,791,
237,2022-12-05,MI,4.09,156,
237,2022-12-05,CC,1.65,352,
238,2022-12-07,NO ,7.88,188,
238,2022-12-07,MI,6.02,124,
